Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	EditNAGeofencescheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleAddingSleepsettingsTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleAddingSleepsettingsTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditEMEAGeofencescheduleWithSleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofencescheduleWithSleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	EditEMEAGeofenceschedulevalueWithoutsleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofenceschedulevalueWithoutsleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	EditEMEAGeofenceschedulevaluesleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofenceschedulevaluesleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	EditEMEAGeofencescheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofencescheduleTemperatureRange		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	EditEMEAGeofencescheduleTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofencescheduleTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	EditEMEAGeofencescheduleAddingSleepsettingsTimeformat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	EditEMEAGeofencescheduleAddingSleepsettingsTimeformat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	GeofencingAlertsEnabled		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	TemperatureAlertsOfStat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	HumidityAlertsOfStat_OnlyHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	ViewFilterReminderScreen_OnlyNAandHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	LocationWithMultipleStats		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=platform@grr.la,PASSWORD=Password00,LOCATION1_NAME=NA Home,LOCATION1_DEVICE1_NAME=6237,LOCATION1_DEVICE2_NAME=HB,LOCATION2_NAME=NA2,LOCATION2_DEVICE1_NAME=Stat 6325'"
Yes	ListOfAllStatsInComfortAlertsScreen		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	GeofencingAlertsDisabled		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	PushNotificationsOFTemperatureAlerts		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	PushNotificationsOFHumidityAlerts_OnlyHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	PushNotificationForFilterReminder_OnlyNAandHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AboveAndBelowSetValuesForTemperature		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AboveAndBelowSetValuesForHumidity_OnlyHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	FilterLastReplacedDate_OnlyNAandHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	NextScheduleReminderDateWrtToReplaceFilterMonth_OnlyNAAndHBB		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	GeofencingAlertsEnabled		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No	TemperatureAlertsOfStat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	HumidityAlertsOfStat_OnlyHBB		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
No	ViewFilterReminderScreen_OnlyNAandHBB		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	LocationWithMultipleStats		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Specific, TestData='USERID=platform@grr.la,PASSWORD=Password00,LOCATION1_NAME=EMEA,LOCATION1_DEVICE1_NAME=Lyric,LOCATION2_NAME=NA Home,LOCATION2_DEVICE1_NAME=6237,LOCATION2_DEVICE2_NAME=HB,LOCATION3_NAME=NA2,LOCATION3_DEVICE1_NAME=Stat 6325'"
No	ListOfAllStatsInComfortAlertsScreen		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	GeofencingAlertsDisabled		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperature		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	AdhocOverrideScheduleTemperatureGeofenceschedulingChangemodeHeatcool		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureGeofenceschedulingResume		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureGeofenceschedulingResumeMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingChangemodeHeatcool		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingPermanently		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingPermanentlyMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingHolduntil		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingHolduntilMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterPermanentHold		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterPermanentHoldMultiStat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterHoldUntil		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterHoldUntilMultiStat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	OverrideTemperatureStatoffmode		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperature		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	AdhocOverrideScheduleTemperatureGeofenceschedulingChangemodeHeatcool		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureGeofenceschedulingResume		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureGeofenceschedulingResumeMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	AdhocOverrideScheduleTemperatureTimeschedulingChangemodeHeatcool		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureTimeschedulingPermanently		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureTimeschedulingPermanentlyMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	AdhocOverrideScheduleTemperatureTimeschedulingHolduntil		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureTimeschedulingHolduntilMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterPermanentHold		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterPermanentHoldMultiStat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterHoldUntil		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	AdhocOverrideScheduleTemperatureTimeschedulingResumeAfterHoldUntilMultiStat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No	OverrideTemperatureStatoffmode		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOff		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOn		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOffAdhocOverride		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOnAdhocOverride		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOffVacation		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOnVacation		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ScheduleOnMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	ScheduleOffMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	ScheduleOff		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOn		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOffAdhocOverride		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOnAdhocOverride		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOffVacation		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOnVacation		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ScheduleOnMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	ScheduleOffMultistat		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	ChangeStatmodeNANoschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ChangeStatModeNAGofenceschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ChangeStatModeNATimeschedule		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	ChangeStatModeNAMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
Yes	ChangeStatModeNAAutochangeover		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	ChangeStatModeEMEA		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
Yes	ChangeStatModeEMEAMultistat		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,MULTI_LOCATION_MULTI_DEVICE'"
No	ChangeStatmodeNANoschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ChangeStatModeNAGofenceschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	ChangeStatModeNATimeschedule		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
